DATE,PROD_GDP_REAL_MIL,PROD_GDP_REAL_MIL_SA,PROD_GDP_REAL_QQ_SA,PROD_GDP_REAL_YY,PROD_GDP_NOM_MIL,PROD_GDP_NOM_MIL_SA,PROD_GDP_NOM_QQ_SA,PROD_GDP_NOM_YY,EXPE_GDP_REAL_MIL,EXPE_GDP_REAL_MIL_SA,EXPE_GDP_REAL_QQ_SA,EXPE_GDP_REAL_YY,EXPE_GDP_NOM_MIL_,EXPE_GDP_NOM_MIL_SA,EXPE_GDP_NOM_QQ_SA,EXPE_GDP_NOM_YY,PRI_FIN_CONSUMP_EXPE_REAL_MIL,PRI_FIN_CONSUMP_EXPE_REAL_MIL_SA,PRI_FIN_CONSUMP_EXPE_REAL_QQ_SA,PRI_FIN_CONSUMP_EXPE_REAL_YY,PRI_FIN_CONSUMP_EXPE_NOM_MIL,PRI_FIN_CONSUMP_EXPE_NOM_MIL_SA,PRI_FIN_CONSUMP_EXPE_NOM_QQ_SA,PRI_FIN_CONSUMP_EXPE_NOM_YY,GOV_FIN_CONSUMP_EXPE_REAL_MIL,GOV_FIN_CONSUMP_EXPE_REAL_MIL_SA,GOV_FIN_CONSUMP_EXPE_REAL_QQ_SA,GOV_FIN_CONSUMP_EXPE_REAL_YY,GOV_FIN_CONSUMP_EXPE_NOM_MIL,GOV_FIN_CONSUMP_EXPE_NOM_MIL_SA,CHG_INV_REAL_MIL,CHG_INV_REAL_MIL_SA,CHG_INV_NOM_MIL,CHG_INV_NOM_MIL_SA,CHG_INV_NOM_QQ_SA,CHG_INV_NOM_YY,GROSS_FIX_CAP_FORM_RESI_BUILD_REAL_MIL,GROSS_FIX_CAP_FORM_RESI_BUILD_REAL_MIL_SA,GROSS_FIX_CAP_FORM_RESI_BUILD_REAL_QQ_SA,GROSS_FIX_CAP_FORM_RESI_BUILD_REAL_YY,GROSS_FIX_CAP_FORM_RESI_BUILD_NOM_MIL,GROSS_FIX_CAP_FORM_RESI_BUILD_NOM_MIL_SA,GROSS_FIX_CAP_FORM_RESI_BUILD_NOM_QQ_SA,GROSS_FIX_CAP_FORM_RESI_BUILD_NOM_YY,GROSS_FIX_CAP_FORM_OTHER_ASSET_REAL_MIL,GROSS_FIX_CAP_FORM_OTHER_ASSET_REAL_MIL_SA,GROSS_FIX_CAP_FORM_OTHER_ASSET_REAL_QQ_SA,GROSS_FIX_CAP_FORM_OTHER_ASSET_REAL_YY,GROSS_FIX_CAP_FORM_OTHER_ASSET_NOM_MIL,GROSS_FIX_CAP_FORM_OTHER_ASSET_NOM_MIL_SA,GROSS_FIX_CAP_FORM_OTHER_ASSET_NOM_QQ_SA,GROSS_FIX_CAP_FORM_OTHER_ASSET_NOM_YY,GROSS_NAT_EXPE_REAL_MIL,GROSS_NAT_EXPE_REAL_MIL_SA,GROSS_NAT_EXPE_REAL_QQ_SA,GROSS_NAT_EXPE_REAL_YY,GROSS_NAT_EXPE_NOM_MIL,GROSS_NAT_EXPE_NOM_MIL_SA,GROSS_NAT_EXPE_NOM_QQ_SA,GROSS_NAT_EXPE_NOM_YY,EXPORT_GS_REAL_MIL,EXPORT_GS_REAL_MIL_SA,EXPORT_GS_REAL_QQ_SA,EXPORT_GS_REAL_YY,EXPORT_GS_NOM_MIL,EXPORT_GS_NOM_MIL_SA,EXPORT_GS_NOM_QQ_SA,EXPORT_GS_NOM_YY,IMPORT_GS_REAL_MIL,IMPORT_GS_REAL_MIL_SA,IMPORT_GS_REAL_QQ_SA,IMPORT_GS_REAL_YY
1987-06-30,27608,27979,,,15537,15792,,,26109,26450,,,9103,9086,,,15061,15038,,,2715,2686,,,5454,5477,,,-479,12,-504,-23,642,637,,,1509,1481,,,3194,3199,,,3414,3419,,,15175,15624,,,24716,25406,,,4342,4217,,,5722,5490,,,3980,4038,,,4592,4636,,
1987-09-30,27749,28130,0.5,,15530,16096,1.9,,26074,26830,1.4,,9374,9280,2.1,,15350,15172,0.9,,2838,2851,6.1,,5611,5583,1.9,,-528,-175,-693,-161,719,709,11.3,,1647,1624,9.7,,3186,3105,-2.9,,3430,3332,-2.5,,15588,15721,0.6,,25060,25208,-0.8,,3994,4199,-0.4,,5464,5726,4.3,,4052,3876,-4.0,,4634,4447,-4.1,
1987-12-31,29107,28258,0.5,,17147,16421,2.0,,28031,26885,0.2,,9836,9513,2.5,,15903,15372,1.3,,2979,2908,2.0,,5820,5590,0.1,,414,-43,604,9,741,701,-1.1,,1704,1629,0.3,,3076,2996,-3.5,,3332,3258,-2.2,,17046,16127,2.6,,27215,25664,1.8,,4150,4218,0.5,,5595,5710,-0.3,,4049,3914,1.0,,4905,4726,6.3,
1988-03-31,28068,28148,-0.4,,16953,16832,2.5,,26849,26882,0.0,,9189,9617,1.1,,14597,15295,-0.5,,2912,3007,3.4,,5267,5510,-1.4,,180,-215,241,-179,651,708,1.0,,1511,1641,0.7,,2966,3115,4.0,,3215,3375,3.6,,15897,16213,0.5,,24767,25460,-0.8,,4554,4401,4.3,,5897,5759,0.9,,3498,3741,-4.4,,4288,4616,-2.3,
1988-06-30,27636,28016,-0.5,0.1,16665,16929,0.6,7.3,26503,26818,-0.2,1.5,9750,9733,1.2,7.1,15316,15301,0.0,1.7,2911,2863,-4.8,7.2,5493,5482,-0.5,0.7,-433,98,-433,86,693,683,-3.5,7.9,1657,1619,-1.3,9.8,2984,3007,-3.5,-6.6,3252,3277,-2.9,-4.7,15905,16383,1.0,4.8,24793,25483,0.1,0.3,4402,4261,-3.2,1.4,5885,5640,-2.1,2.8,3642,3697,-1.2,-8.5,4517,4564,-1.1,-1.6
1988-09-30,27669,28080,0.2,-0.3,17231,17910,5.8,11.0,26624,27491,2.5,2.1,10241,10168,4.5,9.2,15877,15737,2.8,3.4,3166,3196,11.6,11.6,5560,5542,1.1,-0.9,-347,-33,-550,-78,680,675,-1.2,-5.4,1624,1613,-0.4,-1.4,3132,3059,1.7,-1.7,3378,3289,0.4,-1.5,16873,17050,4.1,8.2,25748,25946,1.8,2.7,4285,4526,6.2,7.3,5426,5698,1.0,-0.7,3927,3756,1.6,-3.1,4734,4535,-0.6,2.2
1988-12-31,28711,27835,-0.9,-1.4,18517,17682,-1.3,8.0,28500,27296,-0.7,1.7,10670,10306,1.4,8.5,16343,15769,0.2,2.8,3182,3117,-2.5,6.8,5778,5601,1.1,-0.7,229,-238,276,-310,757,715,5.9,2.2,1772,1687,4.6,4.0,3037,2934,-4.1,-1.3,3242,3140,-4.5,-2.7,17875,16848,-1.2,4.9,27176,25573,-1.4,-0.1,4690,4764,5.3,13.0,5773,5899,3.5,3.2,4049,3913,4.2,0.0,4724,4549,0.3,-3.7
1989-03-31,28119,28189,1.3,0.2,18216,18096,2.3,7.5,27714,27720,1.6,3.2,10043,10496,1.8,9.3,15195,15898,0.8,4.1,3080,3179,2.0,5.8,5321,5545,-1.0,1.0,437,53,532,129,683,743,3.9,4.9,1603,1742,3.3,6.1,2940,3080,5.0,-0.9,3124,3274,4.3,-2.8,17183,17547,4.1,8.1,25725,26453,3.4,3.9,4994,4821,1.2,9.7,6076,5919,0.3,3.0,3961,4233,8.2,13.2,4479,4826,6.1,4.5
1989-06-30,27949,28353,0.6,1.1,18155,18423,1.8,8.9,27512,27796,0.3,3.8,10981,10970,4.5,12.6,16345,16345,2.8,6.7,3285,3199,0.6,12.8,5734,5665,2.2,4.4,-718,-164,-792,-244,823,805,8.3,18.8,1900,1847,6.0,14.7,3120,3179,3.2,4.6,3307,3371,3.0,1.7,17490,18026,2.7,10.0,26208,26938,1.8,5.7,5162,4991,3.5,17.3,6112,5856,-1.1,3.9,4496,4575,8.1,23.4,5052,5121,6.1,11.8
1989-09-30,27586,28034,-1.1,-0.3,17574,18340,-0.5,2.0,26131,27107,-2.5,-1.9,10710,10665,-2.8,4.6,15737,15640,-4.3,-0.9,3146,3199,0.0,-0.6,5699,5707,0.7,2.5,361,660,528,943,821,823,2.2,20.7,1829,1836,-0.6,12.6,3142,3067,-3.5,0.3,3316,3228,-4.2,-1.8,18180,18414,2.2,7.7,26750,27010,0.3,3.9,4382,4641,-7.0,2.3,5095,5362,-8.4,-6.1,4988,4764,4.1,27.0,5554,5297,3.4,17.3
